,t,accel_xout,accel_yout,accel_zout,xout_scaled,yout_scaled,zout_scaled
5019,2770.5650329589844,-504,5336,16268,-0.03076171875,0.32568359375,0.992919921875
5020,2771.247386932373,-584,5308,16268,-0.03564453125,0.323974609375,0.992919921875
5021,2771.9287872314453,-644,5128,16164,-0.039306640625,0.31298828125,0.986572265625
5022,2772.6240158081055,-644,5128,16368,-0.039306640625,0.31298828125,0.9990234375
5023,2773.3066082000732,-688,5128,16368,-0.0419921875,0.31298828125,0.9990234375
5024,2773.9882469177246,-600,5348,16512,-0.03662109375,0.326416015625,1.0078125
5025,2774.6715545654297,-600,5184,16564,-0.03662109375,0.31640625,1.010986328125
5026,2775.3546237945557,-684,5440,16564,-0.041748046875,0.33203125,1.010986328125
5027,2776.050329208374,-788,5320,16448,-0.048095703125,0.32470703125,1.00390625
5028,2776.732921600342,-788,5136,16436,-0.048095703125,0.3134765625,1.003173828125
5029,2777.414083480835,-752,5136,16608,-0.0458984375,0.3134765625,1.013671875
5030,2778.114080429077,-752,5128,16352,-0.0458984375,0.31298828125,0.998046875
5031,2778.7983417510986,-752,5220,16336,-0.0458984375,0.318603515625,0.9970703125
5032,2779.482841491699,-688,5220,16388,-0.0419921875,0.318603515625,1.000244140625
5033,2780.1785469055176,-728,5420,16388,-0.04443359375,0.330810546875,1.000244140625
5034,2780.8609008789062,-696,5320,16360,-0.04248046875,0.32470703125,0.99853515625
5035,2781.5420627593994,-696,5320,16240,-0.04248046875,0.32470703125,0.9912109375
5036,2782.224416732788,-616,5196,16240,-0.03759765625,0.317138671875,0.9912109375
5037,2782.9065322875977,-660,5156,16144,-0.040283203125,0.314697265625,0.9853515625
5038,2783.601999282837,-660,5144,16336,-0.040283203125,0.31396484375,0.9970703125
5039,2784.285306930542,-848,5144,16204,-0.0517578125,0.31396484375,0.989013671875
5040,2784.9671840667725,-764,5280,16460,-0.046630859375,0.322265625,1.004638671875
5041,2785.648822784424,-764,5356,16464,-0.046630859375,0.326904296875,1.0048828125
5042,2786.33189201355,-692,5356,16568,-0.042236328125,0.326904296875,1.01123046875
5043,2787.0285511016846,-624,5272,16312,-0.0380859375,0.32177734375,0.99560546875
5044,2787.710428237915,-652,5260,16192,-0.039794921875,0.321044921875,0.98828125
5045,2788.393497467041,-652,5260,16256,-0.039794921875,0.321044921875,0.9921875
5046,2789.111614227295,-756,5224,16256,-0.046142578125,0.31884765625,0.9921875
5047,2789.7963523864746,-744,5372,16332,-0.04541015625,0.327880859375,0.996826171875
5048,2790.4791831970215,-744,5172,16368,-0.04541015625,0.315673828125,0.9990234375
5049,2791.1629676818848,-716,5428,16368,-0.043701171875,0.331298828125,0.9990234375
5050,2791.8450832366943,-736,5360,16412,-0.044921875,0.3271484375,1.001708984375
5051,2792.526960372925,-736,5232,16300,-0.044921875,0.3193359375,0.994873046875
5052,2793.210029602051,-788,5232,16200,-0.048095703125,0.3193359375,0.98876953125
5053,2793.8919067382812,-748,5208,16200,-0.045654296875,0.31787109375,0.98876953125
5054,2794.5752143859863,-748,5324,16240,-0.045654296875,0.324951171875,0.9912109375
5055,2795.2582836151123,-632,5324,16368,-0.03857421875,0.324951171875,0.9990234375
5056,2795.940399169922,-660,5500,16368,-0.040283203125,0.335693359375,0.9990234375
5057,2796.6225147247314,-600,5480,16352,-0.03662109375,0.33447265625,0.998046875
5058,2797.304630279541,-600,5480,16260,-0.03662109375,0.33447265625,0.992431640625
5059,2797.9862689971924,-684,5268,16260,-0.041748046875,0.321533203125,0.992431640625
5060,2798.6698150634766,-688,5180,16240,-0.0419921875,0.316162109375,0.9912109375
