,accel_xout,accel_yout,accel_zout,t,xout_scaled,yout_scaled,zout_scaled
69,2392,4852,16200,48.161983489990234,0.14599609375,0.296142578125,0.98876953125
70,2392,4648,16400,48.85506629943848,0.14599609375,0.28369140625,1.0009765625
71,2328,4904,16400,49.54886436462402,0.14208984375,0.29931640625,1.0009765625
72,2432,5032,16244,50.24290084838867,0.1484375,0.30712890625,0.991455078125
73,2432,5008,16156,50.94099044799805,0.1484375,0.3056640625,0.986083984375
74,2564,5008,16368,51.63407325744629,0.156494140625,0.3056640625,0.9990234375
75,2464,4992,16112,52.33001708984375,0.150390625,0.3046875,0.9833984375
76,2456,5020,16152,53.02286148071289,0.14990234375,0.306396484375,0.98583984375
77,2456,5020,16104,53.71594429016113,0.14990234375,0.306396484375,0.98291015625
78,2492,5012,16104,54.41093444824219,0.152099609375,0.305908203125,0.98291015625
